"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
277,-48560400,7.9667,45.7333,4.79,277,0,0,0,0.19,TRUE
278,-48214800,11.3,45.8,4.57,278,36,0,1,0.21,TRUE
280,-47782800,6.9,46.19,4.07,280,0,0,0,0.3,TRUE
281,-46832400,7.65,46.1333,4.24,281,0,0,0,0.23,TRUE
282,-46054800,16.2,38.7,4,282,0,0,0,0.34,TRUE
283,-43981200,11.9667,43.7,4.14,283,0,0,0,0.23,TRUE
284,-43722000,9.7667,46.7333,4.04,284,0,0,0,0.23,TRUE
285,-43462800,14.2,46.4,4.16,285,0,0,0,0.31,TRUE
286,-43203600,6.73,46.34,4.36,286,0,0,0,0.25,TRUE
290,-41562000,8.2,44.2333,4.24,290,37,0,1,0.23,TRUE
291,-39488400,15.35,40.1167,4.36,291,0,0,0,0.21,TRUE
292,-37674000,17.04,43.5,4.36,292,0,0,0,0.25,TRUE
293,-32317200,16.8,39.7,4.07,293,0,0,0,0.3,TRUE
294,-31107600,10.7333,44.0667,4.16,294,0,0,0,0.26,TRUE
295,-30762000,12,44.3833,4.46,295,0,0,0,0.26,TRUE
296,-29898000,15.2667,43.0333,4.14,296,0,0,0,0.23,TRUE
297,-29898000,19.1,40.2,4.16,297,0,0,0,0.42,TRUE
298,-27651600,11.2833,44.0833,4.72,298,0,0,0,0.23,TRUE
299,-24022800,15.05,39.95,4.68,299,0,0,0,0.19,TRUE
300,-23936400,15,38.3,4.04,300,0,0,0,0.23,TRUE
301,-23850000,15.2,37.7,4.14,301,0,0,0,0.23,TRUE
302,-23677200,15.2333,38.9667,4.79,302,0,0,0,0.18,TRUE
304,-22554000,14.8667,39.6333,4.07,304,0,0,0,0.23,TRUE
305,-22381200,13.7667,41.55,4.68,305,0,0,0,0.26,TRUE
306,-22294800,14.833,38.817,4.23,306,38,0,1,0.27,TRUE
307,-19443600,14.9667,40.3167,4.14,307,0,0,0,0.23,TRUE
308,-16506000,10.2,44.75,4.13,308,0,0,0,0.27,TRUE
309,-16506000,10.6667,44.6,4.14,309,0,0,0,0.23,TRUE
312,-15814800,12.0167,42.1833,4.46,312,40,0,1,0.45,TRUE
313,-15814800,16.7,39.7,4.57,313,39,0,1,0.47,TRUE
315,-12531600,11.9333,43.7,4.16,315,41,0,1,0.26,TRUE
317,-12358800,12.2,43.0333,4.16,317,0,0,0,0.26,TRUE
318,-8384400,13.6,42.55,4.25,318,0,0,0,0.22,TRUE
319,-7261200,7.3667,45.0833,4.07,319,0,0,0,0.3,TRUE
320,-7002000,15.1333,39.8333,4.07,320,0,0,0,0.26,TRUE
321,-6051600,15.25,38.5833,4.26,321,0,0,0,0.27,TRUE
322,-4150800,15.5667,40.5833,5.27,322,0,0,0,0.41,TRUE
323,-2077200,15.5333,39.2833,4.07,323,0,0,0,0.26,TRUE
324,-1818000,14.85,39.39,4.16,324,0,0,0,0.26,TRUE
325,-176400,13,37.7,4.46,325,0,0,0,0.45,TRUE
326,1724400,16.4,41.9,4.14,326,0,0,0,0.23,TRUE
327,2415600,14.8333,38.6667,4.68,327,0,0,0,0.21,TRUE
329,3366000,12.1,43.9667,4.73,329,42,0,1,0.34,TRUE
331,4057200,15.8167,39.8,4.16,331,0,0,0,0.21,TRUE
332,7858800,7.3833,46.3667,4.04,332,0,0,0,0.23,TRUE
333,7858800,14.28,38.29,4.68,333,0,0,0,0.3,TRUE
334,9327600,10.45,45.65,4.79,334,0,0,0,0.37,TRUE
335,9932400,17.8,39.8,4.44,335,0,0,0,0.23,TRUE
336,10018800,17.9,37,4.16,336,0,0,0,0.42,TRUE
337,10537200,10.3833,44.6333,4.46,337,43,0,1,0.45,TRUE
338,10710000,10.85,44.35,4.04,338,0,0,0,0.23,TRUE
339,12524400,12.65,42.5667,4.36,339,0,0,0,0.41,TRUE
340,13388400,15.4833,39.1167,4.36,340,0,0,0,0.22,TRUE
342,14511600,8.8,43.3,4.4,342,0,0,0,0.34,TRUE
343,15375600,11.6,35.8,5.02,343,0,0,0,0.39,TRUE
344,15462000,17.1,39,4.74,344,0,0,0,0.23,TRUE
345,17362800,7.53,46.69,4.46,345,0,0,0,0.45,TRUE
347,18918000,12.8,44.7,4.34,347,0,0,0,0.23,TRUE
349,19609200,16.5,37.9,4.36,349,0,0,0,0.33,TRUE
350,19782000,7.55,46.3167,4.26,350,0,0,0,0.43,TRUE
351,19868400,10.8833,43.1333,5.02,351,0,0,0,0.26,TRUE
352,21078000,11.8,44,4.34,352,0,0,0,0.23,TRUE
354,21510000,12.95,42.8667,4.26,354,0,0,0,0.25,TRUE
355,21510000,16.08,43.95,5.4,355,44,0,1,0.21,TRUE
357,23238000,13.9833,41.4,4.57,357,0,0,0,0.33,TRUE
359,28854000,9.8,36.98,5.02,359,45,0,1,0.21,TRUE
360,29545200,18.9,40.2,4.36,360,0,0,0,0.44,TRUE
363,31359600,12.9,37.7,4,363,0,0,0,0.34,TRUE
364,31446000,8.3333,44.1333,4.44,364,46,0,1,0.22,TRUE
367,34210800,7.2,44.5,4.51,367,0,0,0,0.32,TRUE
368,34383600,14.1,38.7,4.57,368,47,0,1,0.3,TRUE
370,34642800,11.8833,42.4333,4.61,370,48,0,1,0.14,TRUE
374,35161200,12.5,43.2,4.92,374,49,0,1,0.24,TRUE
375,35766000,14.9667,38.1333,4.26,375,0,0,0,0.4,TRUE
378,39394800,13.0333,42.7,4.21,378,50,0,1,0.19,TRUE
380,39481200,14.95,38.7667,4.16,380,0,0,0,0.26,TRUE
382,41036400,15.1667,37.7167,4.14,382,0,0,0,0.23,TRUE
383,41382000,15.2167,39.2167,4.46,383,0,0,0,0.19,TRUE
384,41900400,15.1833,39.5667,4.16,384,0,0,0,0.22,TRUE
386,42332400,15.35,40.75,4.24,386,0,0,0,0.23,TRUE
387,42332400,15.2333,41.15,4.9,387,51,0,1,0.22,TRUE
391,45010800,6.7,44.6667,4.49,391,52,0,1,0.2,TRUE
392,45874800,12.75,43.9,4.07,392,0,0,0,0.26,TRUE
393,47862000,8.8167,44.75,4.05,393,0,0,0,0.28,TRUE
394,48380400,10.3,44.8,4.9,394,53,0,1,0.2,TRUE
396,48812400,13.9833,41.4,4.14,396,0,0,0,0.23,TRUE
400,51577200,12.8167,39.6667,4.16,400,0,0,0,0.22,TRUE
401,52009200,9.4167,44.5167,4.16,401,0,0,0,0.39,TRUE
402,53046000,12.3333,46.3,4.16,402,0,0,0,0.26,TRUE
404,54601200,8.6833,44.2333,4.07,404,0,0,0,0.23,TRUE
405,55378800,13.2,42.8,4.57,405,55,0,1,0.3,TRUE
408,56070000,10.8667,44.5833,4.54,408,54,0,1,0.23,TRUE
